테마분류,코스 아이디,관광지 아이디,지역 아이디,관광지명,경도(도),위도(도),코스순서,이동시간,실내구분,테마명,지역,관광지명_분리
TH05,267,26703,1156062000,(서울)한강방어백골부대전적비,126.8819122,37.5488355,3,4,실외,종교/역사/전통,서울,한강방어백골부대전적비
TH03,267,26704,1156062000,(서울)양화교 인공폭포,126.8821428,37.5500518,4,6,실외,자연/힐링,서울,양화교 인공폭포
TH03,267,26705,1144074000,(서울)월드컵공원,126.8984363,37.56352625,5,8,실외,자연/힐링,서울,월드컵공원
TH05,268,26803,1132052100,(서울)도봉서원,127.029151,37.68829535,3,4,실외,종교/역사/전통,서울,도봉서원
TH03,268,26805,1132052200,(서울)서울창포원,127.0471648,37.68954007,5,8,실외,자연/힐링,서울,서울창포원
TH05,295,29501,1111053000,(서울)광화문,126.9747661,37.57123291,1,0,실외,종교/역사/전통,서울,광화문
TH02,295,29502,1114057000,(서울)서울애니메이션센터,126.9882884,37.55831474,2,2,실외,체험/학습/산업,서울,서울애니메이션센터
TH03,295,29503,1114055000,(서울)남산,126.9867851,37.55979582,3,4,실외,자연/힐링,서울,남산
TH02,295,29504,1156054000,(서울)63스퀘어,126.9398838,37.51974082,4,6,실내,체험/학습/산업,서울,63스퀘어
TH01,295,29505,1144066000,(서울)트릭아트미술관,126.921674,37.5535197,5,8,실내,문화/예술,서울,트릭아트미술관
TH01,295,29506,1111061500,(서울)인사동,126.9865201,37.57329992,6,11,실외,문화/예술,서울,인사동
TH05,295,29507,1111060000,(서울)북촌 한옥마을,126.9893397,37.58303815,7,13,실외,종교/역사/전통,서울,북촌 한옥마을
TH05,295,29508,1111061500,(서울)창덕궁,126.9932026,37.5825519,8,15,실외,종교/역사/전통,서울,창덕궁
TH03,295,29509,1111061500,(서울)청계광장,126.9791179,37.56941014,9,17,실외,자연/힐링,서울,청계광장
TH04,427,42702,1150064000,(서울)아라한강갑문,126.799183,37.60014161,2,1,실외,캠핑/스포츠,서울,아라한강갑문
TH04,428,42802,1156054000,(서울)여의도 서강대교 남단,126.9216543,37.53195853,2,1,실외,캠핑/스포츠,서울,여의도 서강대교 남단
TH04,428,42803,1121584000,(서울)뚝섬 전망콜플렉스,127.0710216,37.52999177,3,2,실외,캠핑/스포츠,서울,뚝섬 전망콜플렉스
TH04,428,42804,1174061000,(서울)광나루 자전거공원,127.1198527,37.5454423,4,3,실외,캠핑/스포츠,서울,광나루 자전거공원
